Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jerry Chambers,,1.5,1.4,1.3,1.1,0,0,NA,NA,NA
Rodney Carney,84.3,1.6,1.5,1.5,1.3,0.3,NA,NA,NA,NA
Al Thornton,82.9,2.2,1.6,1.3,1.1,NA,NA,NA,NA,NA
Ariel Maughan,80.4,1.5,1.2,1.1,1,-0.5,NA,NA,NA,NA
Major Jones,78.0,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA,NA
Thomas Robinson,77.7,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA,NA
Bob Brannum,75.6,2,1.6,1.1,0.8,0,NA,NA,NA,NA
Larry Staverman,75.1,1.6,1.6,1.4,1.2,1.1,NA,NA,NA,NA
Jeff Ayres,72.8,2.4,1.3,1.2,1,0.3,0.2,NA,NA,NA
Michael Ruffin,71.0,1.9,1.7,1.2,1,0.6,0.2,0.1,0,0
John Wallace,71.0,1.6,1.5,1,1,0.7,0.3,0.3,NA,NA
