Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jerry Chambers,,1.5,1.4,1.3,1.1,0,0
Rodney Carney,84.3,1.6,1.5,1.5,1.3,0.3,NA
Al Thornton,82.9,2.2,1.6,1.3,1.1,NA,NA
Brian Scalabrine,81.2,1.7,1.4,1,0.9,0.3,-0.1
Ariel Maughan,80.4,1.5,1.2,1.1,1,-0.5,NA
Major Jones,78.0,1.3,1.3,1.2,0.9,0.7,0.1
Lance Thomas,78.0,1.7,1.2,1.2,0.9,-0.1,-0.4
Thomas Robinson,77.7,1.6,1.5,0.9,0.6,-0.1,NA
Bob Brannum,75.6,2,1.6,1.1,0.8,0,NA
Larry Staverman,75.1,1.6,1.6,1.4,1.2,1.1,NA
Darvin Ham,74.7,1.7,1.2,0.9,0.9,0.1,-0.4
