Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Darren Collison,,7.6,6.8,5.9,5.6,5.2,4.3,3.9,3.8,3.8,2.9
Nate McMillan,91.8,6.5,6,5.6,5.1,4.9,4.4,4.1,3.7,3.7,2.8
Nick Van Exel,91.3,7.2,7.1,6.4,6.4,5.7,4.9,4.4,4,3.4,2.2
Wesley Matthews,89.8,8.2,7.2,6.2,4.8,4.7,4.6,3.7,3.1,2.7,2.6
Damon Stoudamire,89.3,7.6,6.7,6.6,6.1,5.9,5.7,4.7,4.3,3.6,1.6
Alvin Robertson,89.1,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8
Norm Van Lier,89.1,7.7,7.7,6,5.6,5.5,5.2,3.8,3.2,2.1,1.1
Dick McGuire,88.9,6.9,6.6,6.3,5.3,5.3,4.7,4.5,4,2.1,1.3
Jeff Malone,87.8,6.6,6.1,5.7,5.6,5.6,5.2,5.1,4.1,3.6,1.3
Cuttino Mobley,87.5,8.2,7.6,6.9,5.7,5.3,5.2,4.6,4.4,2.3,2.1
Jason Richardson,87.2,7.4,7.3,6.9,6.6,5.8,5.7,5.2,3.7,3,2.9
