Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,22,KEN,ABA,C,1,NA,27:00,4,5,0.8,0,0,NA,6,10,0.6,1,10,2,NA,NA,2,5,14
1972-73,23,KEN,ABA,C,1,NA,31:00,3,8,0.375,0,0,NA,4,8,0.5,5,16,0,0,2,6,5,10
1973-74,24,KEN,ABA,C,1,NA,27:00,8,12,0.667,0,0,NA,2,3,0.667,6,13,1,1,4,3,4,18
1974-75,25,KEN,ABA,C,1,NA,28:00,4,8,0.5,0,0,NA,3,7,0.429,2,13,2,1,1,4,3,11
1975-76,26,KEN,ABA,C,1,NA,27:00,5,7,0.714,0,0,NA,4,6,0.667,NA,7,1,NA,NA,NA,6,14
1977-78,28,CHI,NBA,C,1,0,13:00,2,4,0.5,NA,NA,NA,6,8,0.75,0,2,0,1,2,1,1,10
1978-79,29,CHI,NBA,C,1,0,15:00,3,4,0.75,NA,NA,NA,2,2,1,1,1,2,0,0,1,1,8
1980-81,31,CHI,NBA,C,1,1,22:00,5,7,0.714,0,0,NA,1,2,0.5,1,6,2,0,1,0,4,11
1981-82,32,CHI,NBA,C,1,1,16:00,3,6,0.5,0,0,NA,1,1,1,1,3,2,0,1,2,4,7
1982-83,33,SAS,NBA,C,1,0,16:00,2,4,0.5,0,0,NA,1,2,0.5,1,5,1,1,0,1,4,5
1985-86,36,SAS,NBA,C,1,0,13:00,3,4,0.75,0,0,NA,4,4,1,1,2,1,2,0,0,4,10
Career,NA,,TOT,,11,2,235,42,69,0.609,0,0,NA,34,53,0.642,19,78,14,6,11,20,41,118
,NA,,NBA,,6,2,95,18,29,0.621,0,0,NA,15,19,0.789,5,19,8,4,4,5,18,51
,NA,,ABA,,5,NA,140,24,40,0.6,0,0,NA,19,34,0.559,14,59,6,2,7,15,23,67
