Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bubbles Hawkins,,1.9,0.6,0.3,0.1,NA
Trajan Langdon,90.9,2,0.6,0.3,NA,NA
Kedrick Brown,89.2,2,0.5,0.4,0.1,NA
Kevin Williams,87.6,1.9,0.6,0.1,0.1,-0.1
Felipe López,87.1,1.9,0.5,0.4,0.3,NA
Alexey Shved,82.8,2.2,0.8,0.2,NA,NA
Treveon Graham,80.8,1.8,0.5,0.4,NA,NA
Win Wilfong,80.7,2.1,0.6,0.2,-0.3,NA
Mike Flynn,80.1,1.7,0.8,0.3,NA,NA
Patrick McCaw,79.2,1.7,0.6,0.5,NA,NA
Lloyd Daniels,78.6,1.8,1.1,0.2,0.1,0
