Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Bubbles Hawkins,,1.9,0.6,0.3,0.1
Trajan Langdon,90.9,2,0.6,0.3,NA
Kevin Williams,90.6,1.9,0.6,0.1,0.1
Kedrick Brown,89.2,2,0.5,0.4,0.1
Emanual Davis,88.2,1.8,0.5,0.3,0.3
Felipe López,87.1,1.9,0.5,0.4,0.3
Tyronn Lue,85.4,2,0.4,0.3,0.2
John Wetzel,83.5,2,0.7,0.5,0.5
Alexey Shved,82.8,2.2,0.8,0.2,NA
Alan Anderson,81.3,1.6,0.4,0.3,0.1
E'Twaun Moore,81.3,1.7,0.8,0.2,0.2
