Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dave Jamerson,,0.2,0.1,-0.1,NA
A.J. Guyton,60.8,0.3,0.1,-0.1,NA
Charles Bradley,60.2,0.2,0.2,-0.1,NA
Gary Payton,59.3,0.2,0.1,-0.2,NA
Demetrius Jackson,58.4,0.2,0.1,-0.1,NA
Brad Holland,49.8,0.3,0.1,-0.1,NA
Dwight Buycks,47.4,0.2,0.1,0,NA
Elijah Millsap,47.4,0.4,0.1,-0.1,NA
Malcolm Lee,35.2,0.4,0.1,0,NA
R.J. Hunter,33.2,0.3,0.1,0,0
Russ Lee,33.0,0.3,0.2,0,NA
