Season,Team,Lg,Salary
1990-91,Houston Rockets,NBA,"$650,000"
1991-92,Houston Rockets,NBA,"$840,000"
1992-93,Houston Rockets,NBA,"$1,034,000"
1993-94,Houston Rockets,NBA,"$780,000"
1994-95,Houston Rockets,NBA,"$104,000"
Career,(may be incomplete),,"$3,408,000"
