Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Dave Jamerson,,0.2,0.1,-0.1
Rusty LaRue,72.0,0.3,0.1,-0.1
Randy Livingston,63.8,0.3,0.1,0
A.J. Guyton,60.8,0.3,0.1,-0.1
Charles Bradley,60.2,0.2,0.2,-0.1
Gary Payton,59.3,0.2,0.1,-0.2
Demetrius Jackson,58.4,0.2,0.1,-0.1
Brad Holland,49.8,0.3,0.1,-0.1
Dwight Buycks,47.4,0.2,0.1,0
Elijah Millsap,47.4,0.4,0.1,-0.1
Kevin Pritchard,46.1,0.2,0.2,-0.2
