Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Gary Neal,,3.5,2.5,1.9,1.4,1,0.6,-0.1
Larry Wright,90.7,3.5,2.7,1.8,1.4,1.2,0,NA
Ron Lee,88.9,3.8,2.8,1.6,1.4,0.8,0.3,NA
Rick Adelman,88.1,3.4,2.2,1.6,1.3,0.7,0.7,0.1
Sam Vincent,86.7,3.3,2.4,2.3,1.1,0.9,0.5,0.3
Kevin Ollie,85.7,3.8,2.4,2.4,1.4,0.9,0,-0.1
George Dempsey,84.9,3.5,2.2,2.1,1.5,1.4,NA,NA
Matthew Dellavedova,84.6,3.8,2.1,1.9,1.2,0.5,0.5,NA
Malik Sealy,84.6,3.2,3.2,2.1,1.2,1.1,0.6,0.2
J.J. Barea,84.3,3.2,2.2,2.2,1.9,1.2,0.5,0.1
Anthony Bowie,83.9,2.9,2.5,2,1.6,1.3,0.7,0.5
