Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Jannero Pargo,,2,1.3,1.1,0.5,0.2,0.2,0.1,0.1,-0.1,-0.2,-0.3
Justin Anderson,79.3,1.9,1.2,1.1,0.4,NA,NA,NA,NA,NA,NA,NA
Todd Lichti,76.1,1.8,1.3,1.2,1,0.2,NA,NA,NA,NA,NA,NA
Donnie Butcher,75.9,1.9,1.2,1.1,0.5,-0.3,NA,NA,NA,NA,NA,NA
Mike Davis,74.4,2.2,1.2,0.9,0.6,NA,NA,NA,NA,NA,NA,NA
John Wetzel,74.2,2,1.5,1.1,0.7,0.5,0.5,0.4,NA,NA,NA,NA
Mo Layton,72.6,1.9,1.1,1,0.3,0.1,NA,NA,NA,NA,NA,NA
Troy Daniels,71.9,1.4,1.3,1.1,0.3,0.2,0.2,NA,NA,NA,NA,NA
Joe Hassett,71.2,2,1.6,1.4,0.9,0.5,0,NA,NA,NA,NA,NA
Lloyd Walton,71.1,1.9,1.1,1.1,1.1,0.1,NA,NA,NA,NA,NA,NA
Bo Lamar,70.8,2.5,1.5,1,0.5,NA,NA,NA,NA,NA,NA,NA
