Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Elston Turner,,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2
Garrett Temple,86.3,2.7,2.2,1.5,1.2,1.2,0.4,0.3,-0.4
John Crotty,84.1,2.4,2.1,1.9,1.3,1,0.8,0.3,-0.1
David Wingate,83.0,2.4,2.3,1.9,1.4,1,0.2,0.1,-0.5
Shelvin Mack,82.1,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5
Jerry Fleishman,80.8,2.2,2.1,1.6,1.3,0.6,NA,NA,NA
Alonzo Gee,79.8,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1
Dion Waiters,79.6,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA
Al Bianchi,78.5,2.4,1.9,1.8,1.5,0.8,0.8,-0.1,-0.4
Em Bryant,78.3,2.1,2,1.9,1.7,1.1,0.5,0.1,-0.7
Haywoode Workman,78.0,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1
