,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1981-82,22,DAL,NBA,,9,,0,,,,5,6,,,11,,,,,,19,
1982-83,23,DAL,NBA,,6,13,1,,6,,2,2,,,9,5,,,,5,14,
1983-84,24,DAL,NBA,,5,12,1,2,5,10,7,8,4,4,8,7,3,0,7,3,12,11.7
1984-85,25,DEN,NBA,,6,11,1,1,6,10,4,4,5,5,9,6,5,2,3,5,13,13.4
1985-86,26,DEN,NBA,,8,11,0,1,8,11,4,4,4,6,9,8,5,1,4,6,16,15.9
1986-87,27,CHI,NBA,,7,10,1,1,7,10,4,4,3,4,7,8,2,1,3,6,14,14.1
1987-88,28,CHI,NBA,,2,6,0,0,2,6,1,2,3,1,3,2,2,0,2,2,4,3.7
1988-89,29,DEN,NBA,,6,12,1,1,6,12,4,5,6,13,14,7,5,2,5,6,15,16.1
Career,,,,,9,,1,,,,7,8,,,14,,,,,,19,
3 Seasons,,DEN,NBA,,8,12,1,1,8,12,4,5,6,13,14,8,5,2,5,6,16,16.1
3 Seasons,,DAL,NBA,,9,,1,,,,7,8,,,11,,,,,,19,
2 Seasons,,CHI,NBA,,7,10,1,1,7,10,4,4,3,4,7,8,2,1,3,6,14,14.1
