Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Bob Dandridge,,9.5,9.1,9,8.7,8.4,8.1,7,6.8,6,5.4,1.7,0.5,0,NA,NA,NA,NA,NA
Jack Twyman,93.4,9.6,9.3,8.8,8.6,8.3,7.3,7.3,5.9,4.3,3.9,1.8,NA,NA,NA,NA,NA,NA,NA
James Worthy,90.1,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1,3,0.1,NA,NA,NA,NA,NA,NA
Rashard Lewis,89.7,9.8,9.5,8.6,8.4,8.3,8,7.8,7.6,6.5,6.5,4.1,3,1.7,1.2,0.3,-0.4,NA,NA
Jamaal Wilkes,88.6,10,8.5,8.3,7.7,7.4,7.3,6.9,6,5.1,3.3,0.9,0,NA,NA,NA,NA,NA,NA
Happy Hairston,88.0,9.3,9.2,8.8,7.2,7,7,6.5,5.3,5.1,4.2,0.4,NA,NA,NA,NA,NA,NA,NA
Terry Cummings,87.7,10.7,8.8,8.7,8.7,7.7,7.5,7.4,6.5,5.6,5.2,3,2.6,2.6,2.1,2,1.8,0.4,0
Antawn Jamison,87.6,9.2,9,8.5,8.2,8.1,6.8,6.7,6.4,5.8,5.4,4.3,3.1,2.6,2.3,1.4,0.1,NA,NA
Glen Rice,87.6,10.8,10.2,10,9.3,9,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0,-0.1,NA,NA,NA
Dennis Rodman,87.5,12.6,9.3,8.7,8.7,8.1,7.8,6.8,6.2,6,5.8,5.5,2.9,0.8,0.6,NA,NA,NA,NA
Shareef Abdur-Rahim,87.2,9.7,8.8,8.5,8.1,7.2,6.9,6.2,5.4,4.6,2.9,2.8,0,NA,NA,NA,NA,NA,NA
