Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Stephen Graham,,1.6,0.4,0,0,-0.1,-0.3
Andre Turner,71.7,1.9,0.4,0,-0.1,-0.1,-0.3
Bernard Robinson,68.3,1.7,0.3,0.1,NA,NA,NA
Tracy Jackson,67.0,1.7,0.7,0,NA,NA,NA
Jerry Rullo,65.2,1.5,0.6,0,-0.1,NA,NA
Bobby Washington,64.7,1.5,0.7,0,NA,NA,NA
Terence Stansbury,63.6,1.5,0.6,0.3,NA,NA,NA
Greg Grant,63.4,1.4,0.2,0,0,0,-0.1
Emanual Davis,61.9,1.8,0.5,0.3,0.3,-0.1,-0.3
Kevin Williams,61.5,1.9,0.6,0.1,0.1,-0.1,NA
Treveon Graham,59.7,1.8,0.5,0.4,NA,NA,NA
