Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Kelvin Upshaw,,1,0.3,0.3,NA,NA,NA,NA
Lowes Moore,87.7,1.1,0.2,0.2,NA,NA,NA,NA
Willie Smith,80.6,1,0.3,0,0,NA,NA,NA
Chris Corchiani,80.1,0.9,0.4,0.3,NA,NA,NA,NA
Gerald Glass,80.0,0.9,0.5,0.3,0.1,NA,NA,NA
Nate Hawthorne,78.6,1.1,0.5,0.1,NA,NA,NA,NA
Eddie Gill,76.3,1.1,0.3,0.2,0.1,0.1,0.1,0
Eddie Hughes,76.3,1,0.4,0,NA,NA,NA,NA
Bryan Warrick,75.2,1,0.5,0.1,0,NA,NA,NA
Ray McCallum,72.1,1.4,0.4,0.3,NA,NA,NA,NA
Connie Norman,71.8,0.8,0.2,0.2,NA,NA,NA,NA
