Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
John Shasky,,1.9,0.7,-0.1,NA,NA,NA
Mike Novak,89.2,1.8,0.6,-0.2,NA,NA,NA
Chris Anstey,85.8,1.9,0.6,0.3,NA,NA,NA
Audie Norris,82.0,1.9,1.1,-0.1,NA,NA,NA
Josh Harrellson,73.8,1.4,0.7,0,NA,NA,NA
Zendon Hamilton,67.8,1.8,1.1,0.1,0.1,0,0
Gene Tormohlen,65.5,1.4,0.8,0.1,0,0,0
Justin Hamilton,61.9,2.1,1.5,0.1,NA,NA,NA
Daniel Santiago,61.9,1.2,0.6,0,0,NA,NA
LaRue Martin,61.8,1.9,0.4,0.1,-0.4,NA,NA
Dave Hoppen,61.6,2.6,0.8,0.2,0,0,-0.1
