Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Doug West,,4.6,4.3,2.6,1.8,1.7,1.2,0.8,0.5,0.4,0.1,-0.1,-0.1
Tony Delk,91.1,4.6,4.6,2.5,2.1,1.6,1.3,0.9,0.8,0.8,0.4,NA,NA
Howard Eisley,85.6,4.5,4.4,3,2.9,1.7,1.3,1.2,1,0.3,0,-0.3,-0.5
Fred Jones,85.5,4.8,4,2.6,2.2,1.6,1.2,0,NA,NA,NA,NA,NA
Marquis Daniels,85.1,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.5,0.1,NA,NA
Wali Jones,84.5,4,4,2.5,1.3,1.2,1.1,0.8,0.5,0.3,0.3,0.2,NA
Jack George,84.2,4.6,3.8,3.4,1.8,1.5,1.5,1.2,-0.1,NA,NA,NA,NA
Eddie House,84.0,4.9,3.9,2.2,1.9,1.8,1.6,1.1,0.9,0.7,0.7,0.4,NA
Jamaal Tinsley,82.6,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3,NA
Al Wood,81.8,4.4,4.2,2.5,2.3,1,0.9,NA,NA,NA,NA,NA,NA
John Bagley,81.7,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3,NA
