Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Sean Rooks,,3,2.3,2.2,1.8,1.8,1.5,1.1,1.1,0.6,0.4,0.3,0.2
Joe Kleine,84.6,3.1,2.6,2.6,2.3,1.6,1.5,1.4,1.2,1,0.9,0.4,0.1
Bill Wennington,83.4,3.5,2.8,2.3,2.1,2,1.3,1.2,0.9,0.8,0.5,0.4,-0.3
Michael Doleac,80.9,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0,NA,NA
Paul Mokeski,75.1,3.4,1.7,1.6,1.4,1.3,1.1,1,0.9,0.8,0.3,0.2,-0.1
Harvey Catchings,75.0,3.1,3.1,2.6,2.3,2.3,1.7,1.4,1.3,1.2,1.1,1.1,NA
Len Elmore,74.4,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0,NA,NA
Vitaly Potapenko,74.4,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1,NA
Adonal Foyle,73.3,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1
Duane Causwell,72.6,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0,NA
Meyers Leonard,72.2,3,2.8,2.4,2.2,1.4,1.1,0.6,NA,NA,NA,NA,NA
