Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,PHI,NBA,SG,69,NA,808,79,203,0.389,49,81,0.605,NA,NA,83,105,NA,NA,82,207
1967-68,23,PHI,NBA,SG,82,NA,1612,190,393,0.483,118,152,0.776,NA,NA,185,191,NA,NA,172,498
1968-69,24,PHI,NBA,SF,72,NA,838,92,216,0.426,54,81,0.667,NA,NA,94,104,NA,NA,121,238
1969-70,25,PHI,NBA,SG,80,NA,1558,189,416,0.454,106,149,0.711,NA,NA,216,222,NA,NA,201,484
1970-71,26,TOT,NBA,SG,79,NA,2213,206,418,0.493,101,138,0.732,NA,NA,158,342,NA,NA,189,513
1970-71,26,PHI,NBA,SG,1,NA,5,0,0,NA,0,0,NA,NA,NA,1,0,NA,NA,0,0
1970-71,26,CHI,NBA,SG,78,NA,2208,206,418,0.493,101,138,0.732,NA,NA,157,342,NA,NA,189,513
1971-72,27,CIN,NBA,SG,61,NA,1975,191,385,0.496,64,83,0.771,NA,NA,142,321,NA,NA,150,446
1972-73,28,KCO,NBA,SG,79,NA,2846,322,565,0.57,74,90,0.822,NA,NA,245,403,NA,NA,190,718
1973-74,29,TOT,NBA,SG,75,NA,1871,195,396,0.492,39,60,0.65,31,90,121,238,54,21,150,429
1973-74,29,KCO,NBA,SG,9,NA,315,41,83,0.494,8,12,0.667,2,19,21,36,8,1,21,90
1973-74,29,HOU,NBA,SG,39,NA,1007,93,203,0.458,21,28,0.75,17,43,60,133,27,14,73,207
1973-74,29,BUF,NBA,SG,27,NA,549,61,110,0.555,10,20,0.5,12,28,40,69,19,6,56,132
1974-75,30,CHI,NBA,SG,82,NA,2089,255,500,0.51,78,103,0.757,24,115,139,178,45,17,154,588
1975-76,31,TOT,NBA,SG,56,NA,793,73,173,0.422,18,27,0.667,22,41,63,70,18,3,76,164
1975-76,31,CHI,NBA,SG,18,NA,278,36,74,0.486,9,11,0.818,4,12,16,28,5,1,23,81
1975-76,31,KCK,NBA,SG,38,NA,515,37,99,0.374,9,16,0.563,18,29,47,42,13,2,53,83
Career,NA,,NBA,,735,NA,16603,1792,3665,0.489,701,964,0.727,77,246,1446,2174,117,41,1485,4285
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,PHI,NBA,,304,NA,4821,550,1228,0.448,327,463,0.706,NA,NA,579,622,NA,NA,576,1427
4 seasons,NA,"CIN,KCO,KCK",NBA,,187,NA,5651,591,1132,0.522,155,201,0.771,20,48,455,802,21,3,414,1337
3 seasons,NA,CHI,NBA,,178,NA,4575,497,992,0.501,188,252,0.746,28,127,312,548,50,18,366,1182
1 season,NA,HOU,NBA,,39,NA,1007,93,203,0.458,21,28,0.75,17,43,60,133,27,14,73,207
1 season,NA,BUF,NBA,,27,NA,549,61,110,0.555,10,20,0.5,12,28,40,69,19,6,56,132
