Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,PHI,NBA,SG,69,808,7.5,0.434,0.399,NA,NA,NA,14.4,NA,NA,NA,-0.2,0.7,0.5,0.03,NA,NA,NA,NA,NA
1967-68,23,PHI,NBA,SG,82,1612,10.4,0.541,0.387,NA,NA,NA,13.4,NA,NA,NA,2.1,2,4.2,0.124,NA,NA,NA,NA,NA
1968-69,24,PHI,NBA,SF,72,838,8.6,0.473,0.375,NA,NA,NA,14.8,NA,NA,NA,0.4,0.8,1.2,0.068,NA,NA,NA,NA,NA
1969-70,25,PHI,NBA,SG,80,1558,10.2,0.503,0.358,NA,NA,NA,16.4,NA,NA,NA,0.9,1.6,2.5,0.078,NA,NA,NA,NA,NA
1970-71,26,TOT,NBA,SG,79,2213,9.8,0.536,0.33,NA,NA,3.4,19.8,NA,NA,NA,2.3,2.3,4.7,0.101,NA,NA,NA,NA,NA
1970-71,26,PHI,NBA,SG,1,5,3.6,NA,NA,NA,NA,9,0,NA,NA,NA,0,0,0,0.037,NA,NA,NA,NA,NA
1970-71,26,CHI,NBA,SG,78,2208,9.8,0.536,0.33,NA,NA,3.4,19.8,NA,NA,NA,2.3,2.3,4.7,0.101,NA,NA,NA,NA,NA
1971-72,27,CIN,NBA,SG,61,1975,9.9,0.529,0.216,NA,NA,3.6,21,NA,NA,NA,1.8,0.6,2.3,0.057,NA,NA,NA,NA,NA
1972-73,28,KCO,NBA,SG,79,2846,11.2,0.594,0.159,NA,NA,4.5,17.7,NA,NA,NA,5,0.2,5.2,0.087,NA,NA,NA,NA,NA
1973-74,29,TOT,NBA,SG,75,1871,9.1,0.508,0.152,1.7,4.9,3.4,15.9,1.3,0.6,NA,1.1,0.4,1.5,0.04,NA,-1.5,-0.4,-1.9,0
1973-74,29,KCO,NBA,SG,9,315,10,0.51,0.145,0.7,6.3,3.5,15.8,1.1,0.2,NA,0.2,0.1,0.3,0.042,NA,-1.8,-0.7,-2.4,-0.1
1973-74,29,HOU,NBA,SG,39,1007,8.6,0.481,0.138,1.8,4.5,3.2,16.4,1.2,0.7,NA,0.5,0.2,0.7,0.031,NA,-1.3,-0.5,-1.8,0
1973-74,29,BUF,NBA,SG,27,549,9.5,0.556,0.182,2.2,4.9,3.6,15.2,1.5,0.5,NA,0.5,0.2,0.6,0.054,NA,-1.7,0,-1.6,0
1974-75,30,CHI,NBA,SG,82,2089,10,0.539,0.206,1.2,5.8,3.5,12.6,1,0.5,NA,2.4,1.9,4.3,0.099,NA,-1.3,0.2,-1.2,0.4
1975-76,31,TOT,NBA,SG,56,793,6.9,0.444,0.156,2.8,5.4,4,12.2,1,0.2,NA,0.1,0.3,0.3,0.021,NA,-3.2,-0.4,-3.6,-0.3
1975-76,31,CHI,NBA,SG,18,278,9.8,0.514,0.149,1.4,4.7,2.9,15.4,0.9,0.2,NA,0.3,0.1,0.5,0.079,NA,-2,-0.2,-2.2,0
1975-76,31,KCK,NBA,SG,38,515,5.4,0.391,0.162,3.5,5.8,4.7,10.5,1.1,0.2,NA,-0.3,0.1,-0.1,-0.01,NA,-3.9,-0.5,-4.4,-0.3
Career,NA,,NBA,,735,16603,9.8,0.524,0.263,1.7,5.4,3.7,16.4,1.1,0.5,NA,15.9,10.9,26.7,0.077,NA,-1.7,-0.1,-1.8,0.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,PHI,NBA,,304,4821,9.5,0.498,0.377,NA,NA,9,14.8,NA,NA,NA,3.2,5.2,8.4,0.083,NA,NA,NA,NA,NA
4 seasons,NA,"CIN,KCO,KCK",NBA,,187,5651,10.1,0.548,0.178,2.4,6,4.1,18.1,1.1,0.2,NA,6.7,1,7.6,0.065,NA,-3.1,-0.5,-3.6,-0.4
3 seasons,NA,CHI,NBA,,178,4575,9.9,0.536,0.254,1.2,5.6,3.4,16.3,1,0.4,NA,5.1,4.4,9.4,0.099,NA,-1.4,0.1,-1.3,0.4
1 season,NA,HOU,NBA,,39,1007,8.6,0.481,0.138,1.8,4.5,3.2,16.4,1.2,0.7,NA,0.5,0.2,0.7,0.031,NA,-1.3,-0.5,-1.8,0
1 season,NA,BUF,NBA,,27,549,9.5,0.556,0.182,2.2,4.9,3.6,15.2,1.5,0.5,NA,0.5,0.2,0.6,0.054,NA,-1.7,0,-1.6,0
