,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,PHI,NBA,,5,9,3,4,,,5,5,,,5,13
1967-68,23,PHI,NBA,,8,13,5,6,,,7,4,,,5,18
1968-69,24,PHI,NBA,,3,8,3,4,,,4,4,,,5,9
1969-70,25,PHI,NBA,,5,,1,1,,,,,,,,11
1970-71,26,TOT,NBA,,4,5,2,3,,,6,4,,,2,10
1970-71,26,CHI,NBA,,4,5,2,3,,,6,4,,,2,10
1973-74,29,TOT,NBA,,3,7,2,2,,,3,3,,,3,6
1973-74,29,BUF,NBA,,3,7,2,2,,,3,3,,,3,6
1974-75,30,CHI,NBA,,4,8,3,4,2,2,3,2,,,4,11
Career,,,,,8,,5,6,,,,,,,,18
4 Seasons,,PHI,NBA,,8,,5,6,,,,,,,,18
2 Seasons,,CHI,NBA,,4,8,3,4,,,6,4,,,4,11
1 Season,,BUF,NBA,,3,7,2,2,,,3,3,,,3,6
