Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,29,TOT,NBA,SG,75,NA,1871,4.6,9.4,0.492,0.9,1.4,0.65,0.7,2.1,2.9,5.7,1.3,0.5,3.6,10.2,NA,NA,104
1973-74,29,KCO,NBA,SG,9,NA,315,5.9,11.9,0.494,1.1,1.7,0.667,0.3,2.7,3,5.2,1.1,0.1,3,12.9,NA,NA,104
1973-74,29,HOU,NBA,SG,39,NA,1007,4.2,9.1,0.458,0.9,1.3,0.75,0.8,1.9,2.7,6,1.2,0.6,3.3,9.3,NA,NA,104
1973-74,29,BUF,NBA,SG,27,NA,549,4.8,8.6,0.555,0.8,1.6,0.5,0.9,2.2,3.1,5.4,1.5,0.5,4.4,10.3,NA,NA,103
1974-75,30,CHI,NBA,SG,82,NA,2089,5.9,11.5,0.51,1.8,2.4,0.757,0.6,2.7,3.2,4.1,1,0.4,3.6,13.6,NA,NA,99
1975-76,31,TOT,NBA,SG,56,NA,793,4.3,10.1,0.422,1,1.6,0.667,1.3,2.4,3.7,4.1,1,0.2,4.4,9.6,NA,NA,103
1975-76,31,CHI,NBA,SG,18,NA,278,6.2,12.7,0.486,1.6,1.9,0.818,0.7,2.1,2.8,4.8,0.9,0.2,4,14,NA,NA,102
1975-76,31,KCK,NBA,SG,38,NA,515,3.3,8.7,0.374,0.8,1.4,0.563,1.6,2.6,4.1,3.7,1.1,0.2,4.7,7.3,NA,NA,104
Career,NA,,NBA,,213,NA,4753,5.1,10.4,0.489,1.3,1.9,0.727,0.8,2.4,3.2,4.7,1.1,0.4,3.7,11.5,NA,NA,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,CHI,NBA,,100,NA,2367,5.9,11.7,0.501,1.8,2.3,0.746,0.6,2.6,3.2,4.2,1,0.4,3.6,13.6,NA,NA,99
4 seasons,NA,"CIN,KCO,KCK",NBA,,47,NA,830,4.3,9.9,0.522,0.9,1.5,0.771,1.1,2.6,3.7,4.3,1.1,0.2,4,9.5,NA,NA,104
1 season,NA,HOU,NBA,,39,NA,1007,4.2,9.1,0.458,0.9,1.3,0.75,0.8,1.9,2.7,6,1.2,0.6,3.3,9.3,NA,NA,104
1 season,NA,BUF,NBA,,27,NA,549,4.8,8.6,0.555,0.8,1.6,0.5,0.9,2.2,3.1,5.4,1.5,0.5,4.4,10.3,NA,NA,103
5 seasons,NA,PHI,NBA,,0,NA,0,NA,NA,0.448,NA,NA,0.706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
