Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Matt Guokas,,5.2,4.7,4.3,4.2,2.5,2.3,1.5,1.2,0.5,0.3,NA,NA
Tyreke Evans,93.7,5.4,4.6,4.4,4.2,3.1,2.7,1.6,1.4,0.7,0.3,NA,NA
Chris Duhon,92.9,5.2,4.8,4.2,4.1,2.3,1.9,1.3,1,0.2,NA,NA,NA
Ricky Davis,89.6,5.7,5,4.4,4.2,3,2.8,1.9,1.1,0.2,0.2,0.1,-0.4
Hubert Davis,89.5,5.6,4.8,4.2,3.4,2.5,2.2,1.7,1.6,1.2,0.5,0.1,-0.1
Quinn Buckner,89.4,5.4,4.6,4.4,3.2,2,1.6,1.5,1.3,0.5,0.2,NA,NA
Chucky Atkins,89.0,5.1,4.9,4.5,3.6,2.8,2.7,2.4,1.5,0.3,0.2,-0.2,NA
Jodie Meeks,88.6,5.1,4.5,4.1,3.1,3,2,1.1,0.9,0.3,0.1,NA,NA
Rory Sparrow,87.9,5.6,4.3,4.2,4.2,3.7,2.8,1.6,1,0.7,0.5,-0.1,-0.4
Don Ohl,87.6,5.1,4.5,4.4,4.1,3.9,3.2,1.9,1.2,1.2,0.8,NA,NA
Allen Leavell,87.0,5.1,4.8,4.3,4,3.8,3,2.4,1.9,0.6,-0.1,NA,NA
