Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1966-67,22,PHI,NBA,SG,15,252,7.1,0.455,0.266,NA,NA,NA,10.5,NA,NA,NA,0.1,0.3,0.3,0.064,NA,NA,NA,NA,NA
1967-68,23,PHI,NBA,SG,13,327,7.4,0.44,0.342,NA,NA,NA,11.6,NA,NA,NA,-0.1,0.4,0.3,0.047,NA,NA,NA,NA,NA
1968-69,24,PHI,NBA,SF,5,100,7.5,0.445,0.185,NA,NA,NA,10.8,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
1969-70,25,PHI,NBA,SG,2,23,19.8,0.77,0.125,NA,NA,NA,5.9,NA,NA,NA,0.1,0,0.1,0.273,NA,NA,NA,NA,NA
1970-71,26,CHI,NBA,SG,6,83,11.5,0.617,0.357,NA,NA,4.9,18.5,NA,NA,NA,0.2,0,0.2,0.126,NA,NA,NA,NA,NA
1973-74,29,BUF,NBA,SG,6,85,9.9,0.567,0.267,3.4,5.5,4.4,18.7,0,0.6,NA,0.1,0,0.1,0.081,NA,-0.5,-0.1,-0.6,0
1974-75,30,CHI,NBA,SG,13,202,5.3,0.402,0.229,2,5.2,3.6,7.8,1.7,0.3,NA,-0.1,0.2,0.1,0.033,NA,-3.2,0.6,-2.6,0
Career,NA,,NBA,,60,1072,7.7,0.468,0.277,2.4,5.3,4.1,11.5,1.2,0.4,NA,0.3,0.9,1.3,0.058,NA,-2.4,0.4,-2,0
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,35,702,7.7,0.46,0.281,NA,NA,NA,10.9,NA,NA,NA,0.2,0.6,0.8,0.054,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,19,285,7.1,0.466,0.265,2,5.2,4,10.9,1.7,0.3,NA,0.1,0.3,0.4,0.06,NA,-3.2,0.6,-2.6,0
1 season,NA,BUF,NBA,,6,85,9.9,0.567,0.267,3.4,5.5,4.4,18.7,0,0.6,NA,0.1,0,0.1,0.081,NA,-0.5,-0.1,-0.6,0
