Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Bernard James,,1.2,0.5,0.1,NA,NA,NA
Daniel Santiago,88.2,1.2,0.6,0,0,NA,NA
Jason Collier,86.5,1.2,0.4,0.3,0,0,NA
Keith Closs,84.9,1.1,0.6,0.2,NA,NA,NA
Rich Johnson,77.4,1.2,0.9,0.1,NA,NA,NA
Granville Waiters,77.3,1.3,0.5,0.2,0,-0.2,NA
Pétur Guðmundsson,74.5,1.4,0.6,0.3,-0.1,NA,NA
Josh Harrellson,74.5,1.4,0.7,0,NA,NA,NA
Hank Beenders,70.8,1.1,0.9,-0.1,NA,NA,NA
Gene Tormohlen,69.7,1.4,0.8,0.1,0,0,0
Robert Swift,68.8,1.1,0.7,0,-0.2,NA,NA
