Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Todd MacCulloch,,5.6,2.5,2.2,1.7
Enes Kanter,90.4,6.4,2.3,2.2,1.7
Ömer Aşık,89.3,5.5,2.7,2.6,2.4
Olden Polynice,89.1,5.2,2.5,1.6,1.5
Dean Garrett,86.1,6.2,2.9,2.2,1
Greg Ostertag,84.9,5.9,3.8,2.2,1.4
Steve Hawes,84.7,6.1,3.4,2.5,1.9
Melvin Turpin,84.4,6,3.1,2.1,0.8
Dewayne Dedmon,82.7,5.2,2.4,1.7,0.6
Rick Robey,81.9,5.5,3.7,3.1,1.9
Kent Benson,81.8,6.4,3.2,3.1,1.7
