Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Todd MacCulloch,,5.6,2.5,2.2,1.7,NA,NA,NA,NA
Melvin Turpin,85.6,6,3.1,2.1,1.8,0.8,NA,NA,NA
Dean Garrett,83.2,6.2,2.9,2.2,1.9,1,-0.1,NA,NA
Kim Hughes,81.9,6.8,2.3,2.2,2.2,0.4,-0.1,NA,NA
Bryant Reeves,79.1,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA
Lee Knorek,77.1,5.1,2.5,1.7,0,NA,NA,NA,NA
George Peeples,75.9,4.1,3.2,2.1,1.5,0.2,0,NA,NA
Willie Sojourner,72.9,3.5,3,2.4,1.9,NA,NA,NA,NA
Lee Davis,72.7,4.6,3.7,2.1,1.5,0.6,0.2,0.2,-0.1
Bob Hopkins,72.3,3.5,2.7,1.9,1.4,NA,NA,NA,NA
Kleggie Hermsen,72.1,4.3,3,2.9,1.9,-0.5,NA,NA,NA
