Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Luther Rackley,,1.9,1.8,1.3,0.8,0.1
Paul Mokeski,87.2,1.7,1.6,1.4,0.8,-0.1
George Nostrand,85.6,2,2,1.3,0.4,NA
Eric Leckner,82.9,1.7,1.5,0.9,0.9,0.2
Jeff Withey,81.4,2.3,1.8,1.8,0.8,0
Zaid Abdul-Aziz,80.6,2,1.9,1.8,1,-0.3
Ryan Hollins,79.3,1.8,1.2,1.1,1,0.2
Jelani McCoy,78.9,1.5,1.4,1.1,1,0.1
Adonal Foyle,78.5,1.9,1.2,1.1,0.7,-0.1
John Lambert,77.8,1.8,1.5,1,0.9,0.7
Predrag Drobnjak,77.6,2.4,1.6,1,0.7,NA
