,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1971-72,25,TOT,NBA,,1,3,,,,,4,4,,,2,1,,,,1,4
1971-72,25,NYK,NBA,,1,3,,,,,4,4,,,2,1,,,,1,4
Career,,,,,1,3,,,,,4,4,,,2,1,,,,1,4
