Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1960-61,24,PHW,NBA,PG,3,110,7.3,0.451,0.538,NA,NA,NA,11.4,NA,0,0.1,0.2,0.082
1961-62,25,PHW,NBA,PG,12,338,6,0.407,0.408,NA,NA,NA,11,NA,-0.1,0.4,0.3,0.046
1963-64,27,SFW,NBA,PG,12,386,8.9,0.433,0.389,NA,NA,NA,10.7,NA,0,0.4,0.4,0.047
1966-67,30,SFW,NBA,PG,15,237,9.2,0.434,0.348,NA,NA,NA,18.1,NA,0,0.4,0.4,0.089
1967-68,31,SFW,NBA,PG,10,277,13.3,0.485,0.484,NA,NA,NA,31.4,NA,0.2,0.2,0.4,0.067
1968-69,32,SFW,NBA,PG,6,109,7.7,0.33,0.19,NA,NA,NA,27.8,NA,-0.1,0.2,0.1,0.033
1970-71,34,SFW,NBA,PG,4,47,12.9,0.595,1,NA,NA,7.9,33.7,NA,0.1,0,0.1,0.102
Career,NA,,NBA,,62,1504,9,0.436,0.414,NA,NA,7.9,17.8,NA,0.1,1.8,1.9,0.06
