Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Al Attles,,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8,0.4
Aaron McKie,91.2,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,2,1.6,1.4
Derek Fisher,89.8,5.8,5.5,5.2,3.9,3.8,3.7,3.1,2.4,1.8,1.7,1.1
Austin Carr,89.2,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA
Luke Ridnour,89.1,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9,0.1
John Paxson,88.9,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6,0.6
Johnny Davis,88.4,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7,NA
Adrian Smith,87.9,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5
Spud Webb,87.1,5.4,5.1,5.1,4.5,4.1,3.9,3.5,3,2.3,2.2,1.2
Jarrett Jack,86.9,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9
Jason Williams,86.7,5.4,4.8,4.7,4.5,4.3,4.3,3.8,2.1,2.1,1.5,0.9
