Season,Team,Lg,Salary
1999-00,Houston Rockets,NBA,"$3,020,520"
2000-01,Houston Rockets,NBA,"$3,246,960"
2001-02,Houston Rockets,NBA,"$3,473,520"
2002-03,Houston Rockets,NBA,"$4,383,581"
2003-04,Houston Rockets,NBA,"$10,960,000"
2004-05,Orlando Magic,NBA,"$12,330,000"
2005-06,Orlando Magic,NBA,"$13,700,000"
2006-07,New York Knicks,NBA,"$15,070,000"
2007-08,Portland Trail Blazers,NBA,"$15,070,000"
2007-08,Houston Rockets,NBA,"$2,430,000"
2008-09,Portland Trail Blazers,NBA,"$17,180,000"
2008-09,Memphis Grizzlies,NBA,"$2,636,550"
Career,(may be incomplete),,"$103,501,131"
