Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Steve Francis,,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2
Terrell Brandon,90.0,12.7,10.8,8.6,5.6,5.1,3.9,3.2,2.9,0.9
Kenny Anderson,88.1,12.4,7.7,7.5,7.3,6.8,4.4,3.7,2.4,0.5
Michael Redd,87.5,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,-0.1
Gail Goodrich,86.3,12.3,8.1,7.8,6.7,6.4,6.3,4.4,3.6,0.7
Kevin Martin,85.6,10.2,9.5,8.4,7,5.5,4.7,4.2,3.3,0.1
Richie Guerin,85.2,12.1,8.4,7.4,7.2,6.3,5.7,5.4,3.5,1.7
Jim Paxson,85.0,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.2,0.3
Kyle Lowry,84.8,11.7,7.1,7,5.6,4.9,4.3,3.6,3.4,0.5
Anfernee Hardaway,84.7,14.4,10.7,8.1,7.8,7.1,5,2.9,1.1,0.4
Brent Barry,84.2,12.1,7.5,7.3,5.8,5.7,4.9,2.7,2.1,1.6
