Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Steve Francis,,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,NA,NA,NA,NA,NA
Michael Redd,86.2,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1,NA,NA
James Silas,84.4,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6,NA,NA,NA,NA
Anfernee Hardaway,82.7,14.4,10.7,8.1,7.8,7.1,5,2.9,2.3,2,1.1,0.4,0.2,0.2,-0.2
Jim Paxson,82.6,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA,NA,NA
Archie Clark,82.4,11.4,11,8.1,7.9,6.2,6.2,5.6,4,2.7,1.7,NA,NA,NA,NA
Paul Pressey,82.3,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA,NA,NA
Terrell Brandon,81.7,12.7,10.8,8.6,8.5,5.6,5.1,3.9,3.7,3.2,2.9,0.9,NA,NA,NA
Isaiah Thomas,81.7,12.5,9.7,7.7,6.1,5,4.3,0.2,-0.3,NA,NA,NA,NA,NA,NA
Donnie Freeman,80.7,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA,NA,NA
Bobby Wanzer,80.5,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA,NA,NA
