Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Perry Jones,,1.5,0.2,0,NA,NA,NA
Brian Evans,90.4,1.5,0.1,0.1,NA,NA,NA
Damian Jones,88.5,1.5,0.1,0,NA,NA,NA
Michael Bradley,81.6,1.5,0.2,0.1,0.1,0,NA
Roy Rogers,81.1,1.4,0.4,-0.1,NA,NA,NA
Mario Bennett,80.3,1.5,0.5,0,-0.1,NA,NA
Stephen Howard,79.6,1.3,0.2,0.1,0,NA,NA
Damjan Rudež,77.2,1.3,0.1,0.1,NA,NA,NA
Qyntel Woods,73.2,1.3,0.2,0,-0.2,NA,NA
Red Morrison,72.9,1.7,0.5,0,NA,NA,NA
Mark Pope,72.0,1.3,0.1,0,0,-0.1,-0.1
