Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ronald Thomas,,2.7,2,1.8,0.8
Mark Acres,90.1,2.5,2.2,1.6,0.9
Corky Calhoun,89.6,2.5,2.2,2.1,1
Kenny Williams,88.8,2.7,2.4,1.6,0.7
Kevin Restani,88.2,2.2,2,1.8,0.5
Trevor Ariza,87.6,3.4,2.1,1.8,0.9
Brady Walker,87.1,2.8,1.9,1.2,1
Lamar Green,86.1,2.4,2,1.9,0.2
Wally Walker,86.0,2,1.9,1.8,0.9
Mark Alarie,85.4,3.1,2.2,1.5,0.9
Othella Harrington,85.4,3,2.2,1.7,1.4
