Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ronald Thomas,,2.7,2,1.8,0.8,NA,NA,NA
Kenny Williams,88.8,2.7,2.4,1.6,0.7,NA,NA,NA
Brady Walker,87.1,2.8,1.9,1.2,1,NA,NA,NA
Shabazz Muhammad,85.0,2.7,2.7,2,0.7,0.3,NA,NA
James Hardy,84.6,2.5,1.8,1.3,0.7,NA,NA,NA
Lamar Green,83.9,2.4,2,1.9,0.5,0.4,0.2,NA
Shellie McMillon,83.4,2.5,2.2,1.7,1.7,NA,NA,NA
Bruce Seals,82.8,2.9,2.4,1.6,0.6,0.3,NA,NA
Sam Mack,80.8,2.8,1.9,1.3,1.1,0.3,0,-0.1
Justin Holiday,80.2,2.5,2.1,1.7,1.3,0.6,-0.1,NA
Chuck Terry,79.9,2.3,2.1,1.2,0.7,0.1,NA,NA
