Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Josh Powell,,1.1,0.7,0.6,0.3,0,0,-0.2,NA
Ray Tolbert,84.7,1.1,0.8,0.7,0.3,0,NA,NA,NA
Yi Jianlian,77.7,1.3,0.7,0.7,0.4,0,NA,NA,NA
Shavlik Randolph,75.8,1.1,0.7,0.4,0.1,0,0,0,0
Tom Kozelko,75.7,1,0.7,0.7,NA,NA,NA,NA,NA
Bill Hosket,75.0,1,1,0.6,0.5,NA,NA,NA,NA
Jarell Martin,74.6,1.3,0.8,0.6,0.5,NA,NA,NA,NA
James Michael McAdoo,73.8,1.1,0.8,0.5,0,NA,NA,NA,NA
Maceo Baston,73.3,1.1,0.5,0.4,0.3,NA,NA,NA,NA
Loren Woods,72.5,1.1,0.7,0.5,0.4,0.4,0.1,NA,NA
Steve Green,70.7,1.2,1.1,0.7,0.4,NA,NA,NA,NA
