Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Paul Walther,,6.6,5.2,3.1,2.2,2,1.3
Blue Edwards,90.7,5.7,5.2,2.9,2.7,2.2,1.2
Isaiah Rider,89.3,5.8,5,3.4,2.5,1.9,1.7
Foots Walker,89.1,6.1,5.2,3.4,3,2.3,1.5
Arron Afflalo,88.6,6.2,5.3,4.3,2,1.9,1.8
J.J. Redick,88.3,6.5,5.2,4.5,2.3,1.7,0.5
Kevin Porter,87.5,6.5,5.2,4.2,2.7,2.3,0.5
Bojan Bogdanović,86.1,6.8,5.4,2.9,2.4,0.9,NA
Spud Webb,86.0,5.4,4.5,3.5,2.3,2.2,1.2
Bimbo Coles,85.8,5.7,5,3.2,3,2.8,1.1
George Senesky,85.7,6.2,4.4,3.6,2.6,2.3,2
