Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,22,TOT,NBA,SG,53,NA,NA,2.2,5.5,0.393,1.2,2.1,0.578,NA,1.1,2.3,5.5
1949-50,22,MNL,NBA,SG,22,NA,NA,1.5,3.6,0.4,0.5,1,0.524,NA,0.5,1.8,3.4
1949-50,22,INO,NBA,SG,31,NA,NA,2.6,6.8,0.39,1.7,2.8,0.591,NA,1.5,2.7,7
1950-51,23,INO,NBA,SG,63,NA,NA,3.4,10.1,0.336,2.3,3.3,0.694,3.6,3.6,3.2,9.1
1951-52,24,INO,NBA,SG,55,NA,34.6,4,10,0.401,4.2,5.6,0.75,4.5,2.5,3.1,12.2
1952-53,25,INO,NBA,SG,67,NA,36.8,3.4,9.6,0.352,3.9,5.3,0.746,4.2,3.1,3.9,10.7
1953-54,26,PHW,NBA,SG,64,NA,32.3,2.2,6.1,0.352,2.3,3.2,0.704,4,3.4,3.1,6.6
1954-55,27,FTW,NBA,SG,68,NA,12.1,0.8,2.4,0.348,0.8,1.3,0.614,2.3,1.9,1.7,2.4
Career,NA,,NBA,,370,NA,28.6,2.6,7.2,0.362,2.4,3.4,0.708,3.7,2.6,2.9,7.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,INO,NBA,,216,NA,35.8,3.4,9.4,0.364,3.2,4.4,0.722,4.1,2.8,3.3,10.1
1 season,NA,FTW,NBA,,68,NA,12.1,0.8,2.4,0.348,0.8,1.3,0.614,2.3,1.9,1.7,2.4
1 season,NA,PHW,NBA,,64,NA,32.3,2.2,6.1,0.352,2.3,3.2,0.704,4,3.4,3.1,6.6
1 season,NA,MNL,NBA,,22,NA,NA,1.5,3.6,0.4,0.5,1,0.524,NA,0.5,1.8,3.4
