Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Paul Walther,,6.6,5.2,3.1,2.2,2,1.3,NA,NA,NA,NA,NA
Bojan Bogdanović,86.1,6.8,5.4,2.9,2.4,0.9,NA,NA,NA,NA,NA,NA
Bobby Simmons,84.4,6.8,5.3,3.4,2,0.9,0.7,0.7,0.3,0.1,0,NA
Jeremy Lamb,83.1,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA,NA,NA,NA
George Senesky,83.0,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3,NA,NA,NA
Larry Miller,82.2,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA,NA,NA
Ted McClain,82.1,7,4.2,4.1,2.7,2,0.8,0.5,-0.1,NA,NA,NA
Delonte West,81.6,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA
Ron Williams,81.3,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA,NA
Šarūnas Marčiulionis,81.1,6.4,3.8,3,2.6,2.5,2.3,-0.5,NA,NA,NA,NA
Chris Whitney,81.1,6.5,4,3.2,2.7,2.3,1.3,1,0.6,0.2,-0.2,-0.3
