Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Freeman Williams,,4.1,4,1.8,0.4,-0.1,-0.2
Oliver Taylor,84.9,3.9,3.8,2.8,0.4,NA,NA
Kelenna Azubuike,82.6,4.1,3.4,1.2,0.7,-0.1,NA
Delon Wright,82.0,4.5,4.3,1.1,0.6,NA,NA
Eddie Robinson,78.4,4,3,2.2,0.8,0.2,NA
Tyus Jones,77.8,3.6,3,1.5,0.3,NA,NA
Al Smith,77.2,4.5,3.3,1.8,0.9,0.6,NA
Paul Hoffman,76.2,4.7,4.1,2.2,1.1,0.8,NA
Rick Mount,74.6,4.6,3.5,1.1,0.7,0.6,NA
Pep Saul,73.8,4.2,2.8,1.5,0.8,0.6,NA
Reggie Bullock,73.6,4.2,3.1,1.2,1,0.2,0.1
