Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Freeman Williams,,4.1,4,1.8,0.4,-0.1,-0.2
Oliver Taylor,84.9,3.9,3.8,2.8,0.4,NA,NA
Kelenna Azubuike,82.6,4.1,3.4,1.2,0.7,-0.1,NA
Delon Wright,82.0,4.5,4.3,1.1,0.6,NA,NA
Roger Mason,81.5,4.7,3.4,1.9,0.1,0.1,-0.1
Devean George,80.4,4.2,3.4,2.7,0.7,0.3,-0.3
Earl Boykins,80.0,4.1,3.5,1,0.8,0.3,-0.3
Eddie Robinson,78.4,4,3,2.2,0.8,0.2,NA
Rex Chapman,78.2,3.9,3,1.9,0.1,-0.2,-0.7
Tyus Jones,77.8,3.6,3,1.5,0.3,NA,NA
Al Smith,77.2,4.5,3.3,1.8,0.9,0.6,NA
