Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Zelmo Beaty,,16,15.1,11.8,10.8,10.3,9,8.4,7.7,5.2,4.8,4.5,2.3
Bob Lanier,87.1,14.4,12.4,10.6,10.3,10.1,10.1,8.4,7.4,6.8,6.6,5.9,5.2
Dwight Howard,87.0,14.4,13.8,13.2,12.9,9.7,8.6,8,7.7,7.6,7.3,6.6,3.6
Walt Bellamy,85.4,16.3,14.4,13.7,12.1,11.1,10.4,10.3,9.5,8.8,7.1,6.2,4.9
Patrick Ewing,85.4,13.5,13.1,13,10.9,10.6,10,9.8,9.6,8.1,6.8,3.5,3.1
Ed Macauley,85.1,15.9,14.6,14.5,13.8,10.6,8.9,8.3,7.8,6.3,-0.2,NA,NA
Moses Malone,82.2,15.4,15.1,14.1,13.7,11.9,11.9,10.2,9.5,8.9,8.7,6.1,1.9
Robert Parish,81.9,10.9,10.8,10.5,10,9.2,9.2,9,7.1,6.4,4.8,4.6,4
Hakeem Olajuwon,81.0,15.8,14.3,12.4,11.2,10.9,10.7,10.7,10.2,9.8,9.7,9.5,8.6
Wes Unseld,80.9,11.1,10.8,10.7,10.6,10,9.5,8.7,8.4,8.3,6.8,6.2,3.6
Dave Cowens,79.6,12,10.8,10.7,10.4,9.5,9.3,6.4,5.4,4.8,4.4,2.6,NA
