Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Mahmoud Abdul-Rauf,,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1
Rafer Alston,89.3,6.6,5.9,5.5,5,3.4,1.2,0.7,0.3,-0.7
Larry Brown,89.3,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA
Bryant Stith,88.3,6.8,5.6,5.2,4.8,3,1.6,1.6,0.5,-0.3
Willie Anderson,86.6,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1
Reggie Jackson,85.0,6.9,5,4.9,4.9,2.5,2,1.9,0.1,NA
Andrew Toney,84.0,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA
Josh Childress,83.9,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA
Eric Murdock,83.4,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1
Geoff Petrie,81.9,6.2,5.4,5.3,4.6,4.5,0.1,NA,NA,NA
Jeff McInnis,81.5,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1
