Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mahmoud Abdul-Rauf,,6.8,5.5,5.1,5,2.7,0.7,0.6,-0.3,-1,NA,NA
Larry Brown,89.3,6.6,5.8,5.1,5,2.4,NA,NA,NA,NA,NA,NA
Willie Anderson,86.6,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA,NA
Bryant Stith,85.5,6.8,5.6,5.2,4.8,3,1.6,1.6,0.7,0.5,-0.3,NA
Reggie Jackson,85.0,6.9,5,4.9,4.9,2.5,2,1.9,0.1,NA,NA,NA
Andrew Toney,84.0,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA,NA
Josh Childress,83.9,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA,NA
Eric Murdock,83.4,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA,NA
Geoff Petrie,81.9,6.2,5.4,5.3,4.6,4.5,0.1,NA,NA,NA,NA,NA
Jeff McInnis,81.2,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Dick Garmaker,81.0,7.5,4.7,4.6,4.4,3.1,1.3,NA,NA,NA,NA,NA
