Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,NA,TOT,ABA,NA,12,NA,127,19,39,0.487,0,0,NA,19,39,0.487,0.487,10,14,0.714,NA,NA,23,5,13,30,48
1967-68,NA,NJA,ABA,NA,7,NA,59,12,19,0.632,0,0,NA,12,19,0.632,0.632,7,9,0.778,NA,NA,9,2,7,16,31
1967-68,NA,PTP,ABA,NA,5,NA,68,7,20,0.35,0,0,NA,7,20,0.35,0.35,3,5,0.6,NA,NA,14,3,6,14,17
Career,NA,,ABA,NA,12,NA,127,19,39,0.487,0,0,NA,19,39,0.487,0.487,10,14,0.714,NA,NA,23,5,13,30,48
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,NJA,ABA,NA,7,NA,59,12,19,0.632,0,0,NA,12,19,0.632,0.632,7,9,0.778,NA,NA,9,2,7,16,31
1 season,NA,PTP,ABA,NA,5,NA,68,7,20,0.35,0,0,NA,7,20,0.35,0.35,3,5,0.6,NA,NA,14,3,6,14,17
