Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Boris Diaw,,8.9,6.2,4.9,4.8,4.7,4.6,4.4,3.8,3.6,3,1.1,0.8,0.6,0.1,NA
Orlando Woolridge,91.0,9,6.8,5.6,5.3,4.8,4.4,3.9,3.6,3.3,2.3,1.8,1.5,0.8,NA,NA
Mike Dunleavy,89.6,8.5,6.5,5.2,5.1,4.9,4.5,4.4,4.4,4.2,4.1,2.3,1.5,1.5,0.9,0.5
James Posey,89.4,10,6.2,5.4,5.2,4.3,4.2,4.2,3.8,2.7,2.4,2.3,1,NA,NA,NA
Clarence Weatherspoon,88.0,8.6,6,5.8,5.5,5.1,5,4.5,4,3.6,3.5,3.3,2.6,1.1,NA,NA
Nicolas Batum,87.7,7.9,6.6,5.8,5.2,5,4.8,4.6,3.7,3.7,3.5,3.5,NA,NA,NA,NA
Jeff Foster,87.3,8.3,6.5,5.7,5.4,4.5,4.2,4.2,3,2.7,1.6,0.6,0.4,0.4,NA,NA
Amir Johnson,87.3,7.3,6.3,5.9,5.6,5.1,5,4.5,4.1,4,3,2.7,1.1,0.5,0.2,NA
Josh Smith,86.7,9.3,6.8,6.4,5.8,4.9,4.4,4.2,3.6,2.4,2.3,1.1,0,0,NA,NA
Taj Gibson,86.1,7.2,5.7,5.4,5.2,5.1,4.8,4.7,4.5,4,3.3,NA,NA,NA,NA,NA
Kenyon Martin,85.8,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,1.2,1.2,0.9,0.2,0
