Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1970-71,22,LAL,NBA,SF,12,522,10,0.462,0.188,NA,NA,6.1,6.2,NA,NA,NA,NA,NA,0.1,0.2,0.3,0.024,NA,NA,NA,NA,NA
1971-72,23,LAL,NBA,SF,15,624,13.1,0.504,0.277,NA,NA,6.1,5.4,NA,NA,NA,NA,NA,0.7,0.7,1.4,0.111,NA,NA,NA,NA,NA
1972-73,24,LAL,NBA,SF,17,630,15.9,0.501,0.244,NA,NA,5.9,9.4,NA,NA,NA,NA,NA,1,0.6,1.6,0.12,NA,NA,NA,NA,NA
1973-74,25,BUF,NBA,SF,6,224,12.1,0.439,0.174,10.2,12.1,11.2,7.2,0.8,0.2,NA,NA,NA,0.1,0.2,0.3,0.063,NA,0.5,-0.9,-0.4,0.1
1974-75,26,BUF,NBA,SF,7,240,13,0.494,0.163,4.3,11,7.5,8.3,2.1,0.4,NA,NA,NA,0.3,0.1,0.4,0.08,NA,1.5,0.1,1.6,0.2
1975-76,27,BUF,NBA,SF,9,348,13.5,0.532,0.295,3.6,7.7,5.7,8,1.9,0.6,NA,NA,NA,0.4,0.2,0.6,0.08,NA,-0.1,-0.1,-0.2,0.2
1977-78,29,NYK,NBA,SF,6,134,13.4,0.476,0.113,6.3,9.8,7.9,10.3,2.3,0,11.2,17.6,NA,0.1,0,0.1,0.034,NA,-0.2,-0.3,-0.5,0.1
Career,NA,,NBA,,72,2722,13.1,0.492,0.23,5.7,9.9,6.6,7.5,1.7,0.4,11.2,17.6,NA,2.7,2,4.6,0.082,NA,0.5,-0.3,0.2,0.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,44,1776,13.2,0.493,0.242,NA,NA,6,7,NA,NA,NA,NA,NA,1.8,1.5,3.3,0.089,NA,NA,NA,NA,NA
3 seasons,NA,BUF,NBA,,22,812,12.9,0.494,0.221,5.6,9.9,7.7,7.9,1.6,0.4,NA,NA,NA,0.8,0.5,1.3,0.075,NA,0.6,-0.3,0.3,0.5
1 season,NA,NYK,NBA,,6,134,13.4,0.476,0.113,6.3,9.8,7.9,10.3,2.3,0,11.2,17.6,NA,0.1,0,0.1,0.034,NA,-0.2,-0.3,-0.5,0.1
