Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,25,BUF,NBA,SF,82,NA,3322,7.8,15.7,0.494,4.2,4.9,0.858,2.8,5.1,7.9,3.3,1.7,0.3,NA,2.4,19.7,NA,NA,101
1974-75,26,BUF,NBA,SF,62,NA,2132,7.3,14.5,0.499,4.1,4.8,0.84,2.7,5.4,8,3.3,1.4,0.3,NA,2.7,18.6,NA,NA,100
1975-76,27,BUF,NBA,SF,74,NA,2610,8.4,15.6,0.536,3.2,3.7,0.858,2.3,4.4,6.6,3.5,1.5,0.2,NA,2.4,19.9,NA,NA,100
1976-77,28,NYK,NBA,SF,67,NA,2158,6.1,13.2,0.464,1.4,1.8,0.779,1.4,5,6.3,2.9,1.3,0.1,NA,2.1,13.6,NA,NA,102
1977-78,29,NYK,NBA,SF,81,NA,1977,6.4,13.8,0.462,2.5,3,0.858,1.8,4.6,6.4,4.5,1.7,0.4,2.3,2.6,15.3,NA,104,104
1978-79,30,POR,NBA,SF,23,NA,278,5.5,12.4,0.446,2.8,3.5,0.81,2.7,3.8,6.5,5.5,1.7,0.5,2.7,3,13.9,NA,106,105
Career,NA,,NBA,,389,NA,12477,7.3,14.7,0.494,3.2,3.8,0.847,2.3,4.9,7.1,3.5,1.5,0.3,0.4,2.4,17.7,NA,104,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BUF,NBA,,218,NA,8064,7.8,15.4,0.509,3.8,4.5,0.853,2.6,4.9,7.5,3.4,1.6,0.3,NA,2.5,19.5,NA,NA,100
2 seasons,NA,NYK,NBA,,148,NA,4135,6.2,13.5,0.463,1.9,2.3,0.827,1.6,4.8,6.4,3.7,1.5,0.2,1.1,2.3,14.4,NA,104,103
1 season,NA,POR,NBA,,23,NA,278,5.5,12.4,0.446,2.8,3.5,0.81,2.7,3.8,6.5,5.5,1.7,0.5,2.7,3,13.9,NA,106,105
