Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Jim McMillian,,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5
Don Nelson,93.1,8.3,7.5,7.4,6.1,5.4,3.3,2.3,2.1,0.4
Wally Szczerbiak,89.7,8.7,8,7.4,7.3,6.2,5.2,2.9,1.6,1.6
Bill Bridges,89.4,8.6,7.6,6.7,6.6,3.9,3.9,3.1,2.6,0.6
Bryon Russell,88.9,8.8,7.4,6.8,6,5.6,2.3,2.1,1.4,0.8
Derrick Favors,88.8,8.3,8,7.9,7.1,5.1,4.4,3,2.9,2.7
Hedo Türkoğlu,88.4,9,7.6,7.3,6.7,5.2,4.9,3.4,2.8,2.6
Nick Anderson,88.1,8.3,7.7,7.6,7.4,5.3,4.2,3.6,3.1,1.8
Corey Maggette,88.0,8.6,8.1,7,6.9,5,3.9,3.3,3,2.6
Bob Netolicky,87.8,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0
Tristan Thompson,87.6,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA
