Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,LAL,NBA,SF,12,NA,43.5,6.6,15.1,0.436,1.9,2.8,0.676,NA,NA,5.4,1.8,NA,NA,NA,2.3,15.1
1971-72,23,LAL,NBA,SF,15,NA,41.6,7.5,16.9,0.447,4,4.7,0.857,NA,NA,5.7,1.5,NA,NA,NA,2.9,19.1
1972-73,24,LAL,NBA,SF,17,NA,37.1,8.4,18.1,0.466,3.2,4.4,0.733,NA,NA,4.8,2.2,NA,NA,NA,2.4,20.1
1973-74,25,BUF,NBA,SF,6,NA,37.3,6.3,15.3,0.413,1.8,2.7,0.688,4,4.8,8.8,2,0.7,0.2,NA,2.3,14.5
1974-75,26,BUF,NBA,SF,7,NA,34.3,5.6,12.3,0.453,1.9,2,0.929,1.4,3.4,4.9,2,1.6,0.3,NA,1.7,13
1975-76,27,BUF,NBA,SF,9,NA,38.7,6.8,14.3,0.473,3.7,4.2,0.868,1.2,2.9,4.1,2.1,1.6,0.4,NA,3.2,17.2
1977-78,29,NYK,NBA,SF,6,NA,22.3,4,8.8,0.453,0.8,1,0.833,1.5,2,3.5,1.8,1.2,0,1.2,0.5,8.8
Career,NA,,NBA,,72,NA,37.8,6.9,15.3,0.451,2.8,3.5,0.791,1.9,3.3,5.2,1.9,1.3,0.3,1.2,2.3,16.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,44,NA,40.4,7.6,16.8,0.452,3.1,4.1,0.771,NA,NA,5.3,1.8,NA,NA,NA,2.5,18.4
3 seasons,NA,BUF,NBA,,22,NA,36.9,6.3,14,0.45,2.6,3.1,0.838,2,3.6,5.6,2,1.3,0.3,NA,2.5,15.1
1 season,NA,NYK,NBA,,6,NA,22.3,4,8.8,0.453,0.8,1,0.833,1.5,2,3.5,1.8,1.2,0,1.2,0.5,8.8
