Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22,LAL,NBA,SF,12,NA,522,79,181,0.436,23,34,0.676,NA,NA,65,22,NA,NA,NA,27,181
1971-72,23,LAL,NBA,SF,15,NA,624,113,253,0.447,60,70,0.857,NA,NA,85,22,NA,NA,NA,43,286
1972-73,24,LAL,NBA,SF,17,NA,630,143,307,0.466,55,75,0.733,NA,NA,82,37,NA,NA,NA,41,341
1973-74,25,BUF,NBA,SF,6,NA,224,38,92,0.413,11,16,0.688,24,29,53,12,4,1,NA,14,87
1974-75,26,BUF,NBA,SF,7,NA,240,39,86,0.453,13,14,0.929,10,24,34,14,11,2,NA,12,91
1975-76,27,BUF,NBA,SF,9,NA,348,61,129,0.473,33,38,0.868,11,26,37,19,14,4,NA,29,155
1977-78,29,NYK,NBA,SF,6,NA,134,24,53,0.453,5,6,0.833,9,12,21,11,7,0,7,3,53
Career,NA,,NBA,,72,NA,2722,497,1101,0.451,200,253,0.791,54,91,377,137,36,7,7,169,1194
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,44,NA,1776,335,741,0.452,138,179,0.771,NA,NA,232,81,NA,NA,NA,111,808
3 seasons,NA,BUF,NBA,,22,NA,812,138,307,0.45,57,68,0.838,45,79,124,45,29,7,NA,55,333
1 season,NA,NYK,NBA,,6,NA,134,24,53,0.453,5,6,0.833,9,12,21,11,7,0,7,3,53
