Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,25,BUF,NBA,SF,6,NA,224,7.3,17.8,0.413,2.1,3.1,0.688,4.6,5.6,10.2,2.3,0.8,0.2,NA,2.7,16.8,NA,NA,98
1974-75,26,BUF,NBA,SF,7,NA,240,7.4,16.3,0.453,2.5,2.7,0.929,1.9,4.6,6.5,2.7,2.1,0.4,NA,2.3,17.3,NA,NA,102
1975-76,27,BUF,NBA,SF,9,NA,348,8.1,17.1,0.473,4.4,5,0.868,1.5,3.4,4.9,2.5,1.9,0.5,NA,3.8,20.5,NA,NA,104
1977-78,29,NYK,NBA,SF,6,NA,134,7.8,17.3,0.453,1.6,2,0.833,2.9,3.9,6.9,3.6,2.3,0,2.3,1,17.3,NA,100,110
Career,NA,,NBA,,28,NA,946,7.7,17.1,0.45,2.9,3.5,0.838,2.6,4.3,6.9,2.7,1.7,0.3,0.3,2.8,18.3,NA,100,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,BUF,NBA,,22,NA,812,7.7,17.1,0.45,3.2,3.8,0.838,2.5,4.4,6.9,2.5,1.6,0.4,NA,3.1,18.5,NA,NA,101
1 season,NA,NYK,NBA,,6,NA,134,7.8,17.3,0.453,1.6,2,0.833,2.9,3.9,6.9,3.6,2.3,0,2.3,1,17.3,NA,100,110
