Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1970-71,22,LAL,NBA,SF,81,1747,12.2,0.494,0.207,NA,NA,8.5,9.7,NA,NA,NA,NA,NA,1.2,1.3,2.5,0.07,NA,NA,NA,NA,NA
1971-72,23,LAL,NBA,SF,80,3050,14.3,0.517,0.208,NA,NA,7.6,8.8,NA,NA,NA,NA,NA,4.1,3.7,7.8,0.123,NA,NA,NA,NA,NA
1972-73,24,LAL,NBA,SF,81,2953,14.8,0.495,0.184,NA,NA,6.9,10.3,NA,NA,NA,NA,NA,3.1,3.3,6.4,0.104,NA,NA,NA,NA,NA
1973-74,25,BUF,NBA,SF,82,3322,15.6,0.552,0.312,6.6,11.5,9.1,10.1,1.7,0.4,NA,NA,NA,6.9,1.9,8.9,0.128,NA,1.6,-0.7,0.8,2.4
1974-75,26,BUF,NBA,SF,62,2132,14.7,0.557,0.332,6.3,11.8,9.2,9.9,1.4,0.3,NA,NA,NA,4.3,1.7,6,0.134,NA,1.3,-0.4,0.9,1.6
1975-76,27,BUF,NBA,SF,74,2610,15.3,0.578,0.239,5.5,9.9,7.8,11.3,1.5,0.3,NA,NA,NA,6,2,7.9,0.146,NA,1.9,-0.4,1.4,2.3
1976-77,28,NYK,NBA,SF,67,2158,9.9,0.488,0.134,3.3,11.5,7.5,8.2,1.3,0.1,NA,NA,NA,1.1,1.5,2.6,0.057,NA,-0.9,-0.2,-1.1,0.5
1977-78,29,NYK,NBA,SF,81,1977,12.5,0.507,0.215,4.3,10.7,7.6,12.8,1.7,0.4,13.2,15.1,NA,2.1,1.3,3.4,0.083,NA,-0.1,-0.2,-0.3,0.8
1978-79,30,POR,NBA,SF,23,278,11.9,0.499,0.284,6.3,9.3,7.8,15.3,1.7,0.6,16.1,14.1,NA,0.3,0.2,0.5,0.086,NA,-0.4,0,-0.4,0.1
Career,NA,,NBA,,631,20227,13.9,0.525,0.23,5.4,11,8,10.2,1.5,0.3,13.6,14.9,NA,29.1,16.9,46,0.109,NA,0.9,-0.4,0.4,7.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,LAL,NBA,,242,7750,14,0.504,0.198,NA,NA,7.5,9.6,NA,NA,NA,NA,NA,8.4,8.3,16.7,0.104,NA,NA,NA,NA,NA
3 seasons,NA,BUF,NBA,,218,8064,15.3,0.562,0.293,6.2,11.1,8.7,10.5,1.6,0.3,NA,NA,NA,17.2,5.6,22.8,0.136,NA,1.6,-0.5,1,6.2
2 seasons,NA,NYK,NBA,,148,4135,11.2,0.497,0.174,3.7,11.1,7.5,10.4,1.5,0.3,13.2,15.1,NA,3.3,2.7,6,0.069,NA,-0.5,-0.2,-0.7,1.3
1 season,NA,POR,NBA,,23,278,11.9,0.499,0.284,6.3,9.3,7.8,15.3,1.7,0.6,16.1,14.1,NA,0.3,0.2,0.5,0.086,NA,-0.4,0,-0.4,0.1
