Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Bob Gross,,7.4,7.1,4.4,3.8,3.1,2.9,1.7,0.2
Jae Crowder,93.3,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA
Amir Johnson,88.9,7.3,5.6,4.5,4,3,2.7,0.5,0.2
Joe Caldwell,88.5,7.9,6.7,3.7,3.3,2.5,2.3,2,0.3
Zach Randolph,88.1,7.1,5.7,4.8,3.1,3,3,1.3,0.5
Mel Hutchins,86.4,6.9,5.8,4.4,3.9,3.8,2.8,0.3,NA
Ed Pinckney,85.7,7.5,6.2,6.1,4.7,2.9,2.7,2.3,0.3
Kenny Carr,85.2,6.7,5.8,5.1,3.8,2.9,2.1,1.1,0
Chuck Hayes,85.2,6.4,6.3,4.4,3.6,2.4,1.6,1.5,0.6
Carl Landry,85.2,7.7,6.2,5.9,4.1,3.7,2.9,2.8,0.4
Ruben Patterson,85.2,6.7,5.6,5.5,3.4,3.2,3,2.1,0.2
