Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Brad Daugherty,,12.7,11.7,9.6,9,6.6,6.4,6,3.1,NA,NA,NA,NA,NA,NA,NA
Mel Daniels,87.0,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2,0,NA,NA,NA,NA,NA,NA
Yao Ming,83.7,11.4,10.7,10.6,8.7,8.6,8.3,7.4,0.3,NA,NA,NA,NA,NA,NA,NA
Willis Reed,83.5,14.7,14.6,10.6,10,7.9,5.8,5.5,3.6,1.5,0.6,NA,NA,NA,NA,NA
Andre Drummond,82.1,10.3,10,9.9,7.7,7.4,6.7,4.5,NA,NA,NA,NA,NA,NA,NA,NA
Larry Foust,80.5,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5,4.2,3.1,3.1,NA,NA,NA,NA
DeAndre Jordan,79.8,12.8,11.8,11.5,11.1,9.4,7.1,6.2,5.6,5.2,1.5,1.3,NA,NA,NA,NA
Swen Nater,79.5,9.7,8.7,8.6,6.9,6.8,6.8,5.5,3.1,1.2,1.2,-0.1,NA,NA,NA,NA
Mehmet Okur,78.2,9.3,8.8,7.4,7,6.7,5.9,5.6,3.8,0.2,0,NA,NA,NA,NA,NA
Joakim Noah,77.2,11.2,9,7.3,6.7,6.4,6.2,5.6,3.8,2.2,2.2,1.1,0.1,NA,NA,NA
Bill Cartwright,76.9,10.1,10,9.8,9.7,6.4,5.8,5,4.5,4.2,2.5,2.1,1.3,1.2,0.2,0
