Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Brad Daugherty,,12.7,11.7,9.6,9,6.6,6.4,6,3.1
Larry Foust,89.9,13.3,11.1,10.4,7.1,6.4,6.3,4.7,4.5
Marc Gasol,88.8,11.5,10.2,8.4,8.2,7.9,6.4,5.6,3.7
Mel Daniels,87.0,11.4,10.3,9.2,9.2,8.6,8.6,5.4,2.2
Dikembe Mutombo,86.5,11.3,10.8,9.4,8.8,8.7,7.9,7.6,4.8
Robert Parish,86.4,10.9,10.8,10.5,10,7.1,4.8,4.6,4
Jack Sikma,86.1,12.6,9.8,9.7,8.8,8.6,8.3,8,5.4
Alonzo Mourning,86.0,12.9,9.9,9.4,8.4,8.2,7.9,7.5,6.3
Bill Laimbeer,85.6,10.8,10.5,9.8,9.2,8.8,8.5,5.4,4.7
Dave Cowens,84.4,12,10.8,10.7,10.4,9.5,9.3,6.4,4.4
Bill Cartwright,84.3,10.1,10,9.8,9.7,6.4,5.8,5,0
