Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ledell Eackles,,2.4,2.1,2,1.2,1,1,1
Alonzo Gee,91.3,2.4,1.9,1.9,1.2,1,0.9,0.4
Jon Barry,81.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
Shelvin Mack,79.9,2.3,1.9,1.4,1.3,1.3,0.7,0.5
Anthony Bowie,79.1,2.9,2.5,2,1.6,1.3,0.7,0.5
Alec Burks,78.9,3.2,1.9,1.7,1.5,1.5,1,0.8
Al Bianchi,78.7,2.4,1.9,1.8,1.5,0.8,0.8,-0.1
Trey Burke,77.3,2.4,2.4,2.1,1.9,0.9,0.5,NA
Dion Waiters,77.2,2.1,1.6,1.6,1.2,1.1,0.9,0.1
Randy Brown,76.4,2.4,1.9,1.8,1.6,1.5,0.4,0.3
Nick Young,76.3,2.8,2.5,2.3,1.9,1.4,1.2,0.4
