Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Johnny Davis,,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3,2.5,1.7
Spud Webb,93.7,5.4,5.1,5.1,4.5,4.1,3.9,3.5,2.3,2.2,1.2
Aaron McKie,91.6,5.9,5.3,5.1,4.8,4.3,3.9,3.5,2,1.6,1.4
Jarrett Jack,90.6,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2
Greg Anthony,90.1,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6
Chris Ford,89.5,5.6,4.7,4.3,3.7,3.6,3.5,2.8,2.7,2.5,2.1
Luke Ridnour,89.2,6.2,5.4,4.4,4.3,4,3.4,3.3,2.3,1.2,0.9
Al Attles,89.0,5.6,5.3,5.2,5.2,3.6,3.5,3.4,1.9,1.7,0.8
Courtney Lee,88.0,4.8,4.7,4.4,4.2,3.9,3.9,3.3,3.2,3.1,2.7
Jrue Holiday,87.9,7.1,5.7,5.4,4.2,3.8,3.4,3.4,3.3,1.5,1.2
John Paxson,87.7,6,5.7,4.8,4.7,4.2,3.3,2.3,2.2,1.9,0.6
