Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Byron Houston,,1.8,0.9,0.7,0.5
D.J. White,92.3,1.8,0.8,0.6,0.4
Julian Wright,89.1,1.7,0.8,0.8,0.6
Bob Portman,87.8,1.9,1.2,0.8,0.5
Jud Buechler,86.3,1.8,1.2,0.5,0.4
Henry Walker,85.7,1.9,1.1,0.9,0.5
Pete Verhoeven,85.4,2.1,0.8,0.7,0.4
Stanley Johnson,85.1,1.8,0.6,0.5,0.4
Cliff Meely,83.3,1.8,1.2,1,0.4
Joe Kopicki,82.4,1.9,0.9,0.7,NA
John Thomas,81.8,1.5,0.9,0.4,0.4
