Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Byron Houston,,1.8,0.9,0.7,0.5,NA,NA
Julian Wright,89.1,1.7,0.8,0.8,0.6,NA,NA
Bob Portman,87.8,1.9,1.2,0.8,0.5,NA,NA
D.J. White,87.8,1.8,0.8,0.6,0.4,0.2,0
Stanley Johnson,85.1,1.8,0.6,0.5,0.4,NA,NA
Joe Kopicki,82.4,1.9,0.9,0.7,NA,NA,NA
Tellis Frank,82.0,2,1.1,0.6,0.3,0.1,NA
Jarell Martin,81.3,1.3,0.8,0.6,0.5,NA,NA
John Thomas,80.6,1.5,0.9,0.4,0.4,0,NA
Cliff Meely,80.2,1.8,1.2,1,0.4,0.2,NA
Keith Lee,79.1,1.9,1.1,0.8,NA,NA,NA
