Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
O.J. Mayo,,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1
Jeremy Lin,91.5,5.4,4.4,3.5,2.7,2.7,2.1,0.5,0
Bob Weiss,89.0,5.6,4.7,4.3,3.6,2.9,1.7,0.1,0
Carlos Delfino,88.2,4.8,4,3.5,3.5,2.9,2.4,1,0.5
J.R. Smith,87.7,5.8,5,3.7,3.7,2.7,2.5,1.2,0.2
John Williamson,87.0,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3
Kevin Grevey,86.8,5.8,4.4,3.6,3.4,3.3,1,0.7,0.1
Jeremy Lamb,86.8,5.3,4.9,3.3,2.7,2.7,1.6,0.2,NA
Lionel Hollins,86.7,5.2,4,3.4,2.9,2.3,1.8,0.6,0.1
George Senesky,85.6,6.2,4.4,3.6,2.6,2.3,2,0.5,0.3
Vincent Askew,85.5,6,4.6,4.3,2.9,2.7,1.5,0.2,-0.2
